Year,Month,Day,Night,City,State,Type,NoiseLevel
2011,2,66.0,56.0,Bengaluru,Karnataka,Residential,Medium
2011,3,66.0,58.0,Bengaluru,Karnataka,Residential,Medium
2011,4,66.0,57.0,Bengaluru,Karnataka,Residential,Medium
2011,5,66.0,56.0,Bengaluru,Karnataka,Residential,Medium
2011,6,67.0,57.0,Bengaluru,Karnataka,Residential,Medium
2011,7,67.0,57.0,Bengaluru,Karnataka,Residential,Medium
2011,8,67.0,59.0,Bengaluru,Karnataka,Residential,Medium
2011,9,66.0,56.0,Bengaluru,Karnataka,Residential,Medium
2011,10,66.0,56.0,Bengaluru,Karnataka,Residential,Medium
2011,11,66.0,56.0,Bengaluru,Karnataka,Residential,Medium
2011,12,67.0,58.0,Bengaluru,Karnataka,Residential,Medium
2011,2,56.0,52.0,Bengaluru,Karnataka,Commercial,Low
2011,3,57.0,52.0,Bengaluru,Karnataka,Commercial,Low
2011,4,56.0,52.0,Bengaluru,Karnataka,Commercial,Low
2011,5,57.0,53.0,Bengaluru,Karnataka,Commercial,Medium
2011,6,59.0,54.0,Bengaluru,Karnataka,Commercial,Medium
2011,7,60.0,56.0,Bengaluru,Karnataka,Commercial,Medium
2011,8,58.0,58.0,Bengaluru,Karnataka,Commercial,Medium
2011,9,55.0,54.0,Bengaluru,Karnataka,Commercial,Low
2011,10,54.0,53.0,Bengaluru,Karnataka,Commercial,Low
2011,11,55.0,53.0,Bengaluru,Karnataka,Commercial,Low
2011,12,55.0,53.0,Bengaluru,Karnataka,Commercial,Low
2011,2,64.0,51.0,Bengaluru,Karnataka,Residential,Medium
2011,3,53.0,46.0,Bengaluru,Karnataka,Residential,Low
2011,4,54.0,47.0,Bengaluru,Karnataka,Residential,Low
2011,5,56.0,48.0,Bengaluru,Karnataka,Residential,Low
2011,6,60.0,51.0,Bengaluru,Karnataka,Residential,Medium
2011,7,59.0,48.0,Bengaluru,Karnataka,Residential,Low
2011,8,58.0,48.0,Bengaluru,Karnataka,Residential,Low
2011,9,57.0,48.0,Bengaluru,Karnataka,Residential,Low
2011,10,55.0,47.0,Bengaluru,Karnataka,Residential,Low
2011,11,55.0,47.0,Bengaluru,Karnataka,Residential,Low
2011,12,55.0,46.0,Bengaluru,Karnataka,Residential,Low
